FILENAME;ID;START_POS;IS_HEX;TEXT_ORIGINAL;TEXT_LITERAL_ENGLISH;TEXT_CONVERTED_ENGLISH
START.MES;16;0x4D4;Y;C1 A6 10 64 C1 C1 C1;;
START.MES;17;0x4DA;N;ここには、一口飲めば体中に力が涌いてくるし二口飲めば大抵のﾁ病気も治ってしまう不思議な水が涌いている。;There is a mysterious water here that takes a sip to all over your body and a double sip cures most of the illnesses.;
START.MES;18;0x540;Y;C1 A6 10 64 C1 C1 C1;;
START.MES;19;0x547;N;そうそう、時々ステロイドが落していくジルニウムという金属もﾁこの水に浸すと一時に柔らかくなって簡単に加工できるようになる;Oh yeah, the metal called zirunium, where steroids sometimes drop, becomes soft at one time when soaked in this water, making it easy to process;
START.MES;20;0x5BE;Y;C1 A6 10 64 C1 C1 C1;;
START.MES;21;0x5C5;N;俺達修理屋もここの水とジルニウムを使って武器を作るんだ。;We repair shops also use this water and zirconium to make weapons.;
START.MES;22;0x5FD;Y;C1 A6 10 64;;
START.MES;23;0x601;Y;B2 13 AA B0 AD 10 10 2C 22 70 69 63 5C 6F 70 37 61 2E 70 72 37 22 B0 AD 22 70 69 63 5C 6F 70 37 62 31 2E 70 72 37 22 B0 AD 10 10 2C 22 70 69 63 5C 6F 70 37 62 32 2E 70 72 37 22 B2 14 9A 58 2C 18 01 2C AF 10 18 2C 10 14 2C 11 2C 10 64 2C 10 28 2C 10 63 2C 12 2C 13 2C 14 2C 10 63 18 01 00 2A 10 28 2B 2C 18 FF FF AF 10 18 2C 10 14 2C 11 2C 10 C8 2C 10 28 2C 10 63 2C 12 2C 13 2C 14 2C 10 C7 18 01 00 2A 11 2B 2C 18 FF FF 9B 40 2C 13 2C 18 50 00 AD 10 10 2C 22 70 69 63 5C 6F 70 37 63 2E 70 72 37 22 B5 10 FF 2C 10 14 2C 11 2C 10 3B 2C 10 63 2C 10 14 2C 11 AD 10 10 2C 22 70 69 63 5C 6F 70 37 64 2E 70 72 37 22 B5 10 FF 2C 10 14 2C 11 2C 10 3B 2C 10 63 2C 10 14 2C 11 AD 10 10 2C 22 70 69 63 5C 6F 70 37 65 2E 70 72 37 22 B5 10 FF 2C 10 14 2C 11 2C 10 3B 2C 10 63 2C 10 14 2C 11 9B 40 2C 13 2C 18 20 00 A7 11 2C 10 64 2C 18 02 7F 2C 18 01 8F AA A4 12 2C 7B AF 10 18 2C 10 0A 2C 10 66 10 0F 2B 2C 10 12 2C 10 3C 2C 10 61 10 0F 2D 2C 12 2C 12 2C 12 2C 11 2C 18 FF FF A8 10 0A 2C 10 B2 7D;"This seems to load several images in sequence: ""pic\op7a.pr7” through to ""pic\op7e.pr7"" – this is the vertically scrolling image of the naked girl bathing in the water (from bottom to top), followed by her head turning towards the viewer.";
START.MES;24;0x749;Y;C1;;
START.MES;25;0x74A;N;彼女の名前はミリア。俺のフィアンセだ。;Her name is Milia. It's my fiance. ;Her name is Milia and she is my fiance. 
START.MES;26;0x770;Y;C1;;
START.MES;27;0x771;N;今日も、俺が仕事で泉に行くっていったらついてきちまった。;Today, when I went to the fountain for work, I followed him.;Just today I went to the fountain and she came with me.
START.MES;28;0x7A9;Y;C1 A6 10 64 C1 C1 C1;;
START.MES;29;0x7B0;N;まったく、俺は仕事でここに来てるのにまったくミリアときたらﾁ早速水浴びを始めちまった。;I'm here for work, but when it's just Miria, I just started bathing.;Since it was just Milia and I, we started bathing in the water.
START.MES;30;0x805;Y;C1 A6 10 64 C1 C1 C1;;
START.MES;31;0x80C;N;まあ、俺も目の保養になるからいいかなって・・・;Well, I think it'll be good for my eyes too …;Well… I guess that could be good for my eyes too!
START.MES;32;0x83A;Y;C1 A6 10 64 C1 C1 C1;;
START.MES;33;0x841;N;そのミリアが泉のほとりでとんでもないものを見つけちまった;Then Milia found a ridiculous thing by the spring;
START.MES;34;0x87B;Y;C1;;
START.MES;35;0x87C;Y;C1 A6 10 64 B2 13 A7 11 2C 11 2C 18 02 7F 2C 18 01 8F AA B6 14 B6 12 2C 10 0F B0 AD 22 70 69 63 5C 6F 70 38 61 2E 70 72 37 22 B0 AD 10 10 2C 22 70 69 63 5C 6F 70 38 62 2E 70 72 37 22 B2 14 AF 10 18 2C 10 18 2C 11 2C 10 64 2C 10 24 2C 10 64 2C 12 2C 12 2C 14 2C 10 64 18 01 00 2A 10 18 2B 2C 18 FF FF A7 11 2C 10 64 2C 18 02 7F 2C 18 01 8F AA A4 12 2C 7B AF 10 18 2C 10 0A 2C 10 66 2C 10 12 2C 10 3C 2C 10 61 2C 12 2C 12 2C 12 2C 11 2C 18 FF FF A8 10 0A 2C 10 B2 ;"This loads ""pic\op8a.pr7” and ""pic\op8b.pr7” which are images of the ruined steroid mecha and then the same mecha in a repair bar. The ruined images are vertically scrolled (from top to bottom).";
START.MES;36;0x917;Y;C1;;
START.MES;37;0x918;N;なんと、森の中にあったのは壊れたステロイドだった。;What was in the forest was a broken steroid. ;
START.MES;38;0x94A;Y;C1;;
START.MES;39;0x94B;N;ミリアと相談して俺達はここでこのステロイドを治すことにした;In consultation with Milia we decided to cure this steroid her;
START.MES;40;0x987;Y;C1 A6 10 64 ;;
START.MES;41;0x98B;Y;B2 13 A7 11 2C 11 2C 18 02 7F 2C 18 01 8F AA B0 AD 22 70 69 63 5C 6F 70 39 2E 70 72 37 22 B2 14 A6 18 01 2C B2 13 AA B6 14 B6 12 2C 10 13 B0 AD 22 70 69 63 5C 6F 70 61 2E 70 72 37 22 B2 14 9A 58 2C 10 64 9E 9D 58 11 21 7B A6 12 9A 58 2C 58 12 2D 7D A7 11 2C 10 96 2C 18 02 7F 2C 10 C7 AA B7 13 2C 11 2C 22 61 6E 69 5C 6F 70 2D 31 31 61 2E 61 6E 69 22 B7 15 2C 11 2C 17 A7 17 2C 10 98 2C 10 49 2C 10 C7 AA A9 17 ;"Loads images ""pic\op9.pr7”, ""pic\opa.pr7 and animation file ""ani\op-11a.ani; this is the animation of Milia talking to you over lunch/dinner – well, she has a spoon in her hand and there is a loaf of bread next to her. NOTE that after this section there is not a delimiter to the next text string!!!";
START.MES;42;0xA14;N;［ミリア］あのステロイドの修理もあと、もうすこしね。;[Milia] I'll have to repair that steroid soon.;
START.MES;43;0xA48;Y;A6 AA A9 10 07 ;;
START.MES;44;0xA4D;N;［ジョージ］ああ、もうほとんど修理は終ったよ。あとは、一度街に戻って制御装置を取り付ければ動くだろうな。;[George] Ah, almost all repairs are done. After that, if you go back to the city and install the control device, it will work.;
START.MES;45;0xAB5;Y;A6 AA A9 17 ;;
START.MES;46;0xAB9;N;［ミリア］でも、すごいわね。森の中でステロイドを見つけたときも驚いたけどそれを直して動くようにしちゃうんだから。;[Milia] But it's amazing. I was surprised when I found a steroid in the forest, but I fixed it and made it work.;
START.MES;47;0xB29;Y;A6 AA A9 10 07 ;;
START.MES;48;0xB2F;N;［ジョージ］少しは俺のことを見直した？;[George] Did you revisit me a little?;
START.MES;49;0xB54;Y;A6 AA A9 17 ;;
START.MES;50;0xB58;N;［ミリア］うん、とっても。;[Milia] Yeah, very.;
START.MES;51;0xB72;Y;A6 AA;;
START.MES;52;0x874;N;［ミリア］ねぇジョージ。私、少しだけ心配なことがあるのよ;[Milia] Hey George. I have some worries;
START.MES;53;0xBAE;Y;A6 AA A9 10 07 ;;
;54;0xBB3;Y;B7 15 2C 11 2C 10 09 B2 13 A7 11 2C 11 2C 18 02 7F 2C 18 01 8F AA AA B0 AD 22 70 69 63 5C 6F 70 62 2E 70 72 37 22 B2 14 B7 13 2C 11 2C 22 61 6E 69 5C 6F 70 2D 31 31 62 2E 61 6E 69 22 B7 15 2C 11 2C 17 A7 17 2C 10 98 2C 10 49 2C 10 C7 AA A9 17 ;"Loads image ""pic\opb.pr7” and animation file ""ani\op-11b.ani which is an animated headshot of Milia talking. NOTE that after this section there is not a delimiter to the next text string!!!";
START.MES;55;0xC04;N;［ミリア］あのステロイドと一緒に見つけた・・・;[Milia] I found it with that steroid ...;
START.MES;56;0xC32;Y;A6 AA A9 10 07 ;;
START.MES;57;0xC37;N;［ジョージ］ああ、あの薄紫色をした水晶みたいな玉のことだろう。;[George] Yeah, maybe that lilac-colored crystal ball.;
START.MES;58;0xC75;Y;A6 AA A9 17 ;;
START.MES;59;0xC79;N;［ミリア］ええ、あの玉を見てるとなんだか吸い込まれそうな・・・とにかくとっても不安な気持ちになるのよ。;[Millia] Yeah, when you look at that ball, it seems like you'll be sucked in ... it just makes me feel uneasy.;
START.MES;60;0xCD9;Y;A6 AA;;
START.MES;61;0xCE1;N;［ミリア］ねえ、お願いだからその玉はもとあった場所に戻してきてくれない。;[Milia] Hey, please don't bring the ball back to where it was.;
START.MES;62;0xD29;Y;A6 AA A9 10 07 ;;
START.MES;63;0xD2E;N;［ジョージ］まったく・・・ミリアは心配症だから。俺にはただの水晶玉にしか見えないぜ！;[George] Exactly ... Milia is anxious. It just looks like a crystal ball to me!;
START.MES;64;0xD82;Y;A6 AA A9 17 ;;
START.MES;65;0xD86;N;［ミリア］でも・・・・・・・・・・・・。;[Millia] But ...;
START.MES;66;0xDAE;Y;A6 AA A9 10 07 ;;
START.MES;67;0xDB3;N;［ジョージ］まあ、これはあのステロイドの横に落ちてただけで直接ステロイドに関係のあるものじゃないかもしれないしな・・・。;[George] Well, this may have nothing to do with steroids just because it fell next to it.;
START.MES;68;0xE2B;Y;A6 AA A9 10 07 ;;
START.MES;69;0xE2F;N;［ミリア］でも・・・・・・・・・・・・。;[Millia] But ...;
START.MES;70;0xE57;Y;A6 AA A9 10 07 ;;
START.MES;71;0xE5C;N;［ジョージ］わかったよ。あとでもとあったところに戻してくるわ。;[George] I see. I'll come back to where it originally was.;
START.MES;72;0xE9A;Y;A6 AA A9 17 ;;
START.MES;73;0xE9E;N;［ミリア］ごめん・・・わがままいって・・・。;[Milia] I'm sorry ... I'm so selfish ...;
START.MES;74;0xECA;Y;A6 AA A9 10 07 ;;
START.MES;75;0xECF;N;［ジョージ］んっ？何か音がしないか。ほらっ！こっちに近付いてきてる！;[George] Hmm? Is there any sound? See! It's approaching me!;
START.MES;76;0xF13;Y;A6 AA A9 17 ;;
START.MES;77;0xF17;N;［ミリア］そういえば・・・;[Milia] By the way ...;
